Name.,Vmag.,RA_deg.,Dec_deg.,SpType.,Parallax_arcsec.,Distance_ly.,Constellation
 37The Aur.,2.62.,89.930417.,37.2125.,  A0pSi             .,0.022.,148.2527273.,Aur
 13Mu  Gem.,2.88.,95.74.,22.513611.,  M3IIIab           .,0.02.,163.078.,Gem
  2Bet CMa.,1.98.,95.675.,-17.955833.,  B1II-III          .,0.019.,171.6610526.,CMa
   Alp Car.,-0.72.,95.987917.,-52.695833.,  F0II              .,0.028.,116.4842857.,Car
 24Gam Gem.,1.93.,99.427917.,16.399167.,  A0IV              .,0.033.,98.83515152.,Gem
 27Eps Gem.,2.98.,100.982917.,25.131111.,  G8Ib              .,0.017.,191.8564706.,Gem
  9Alp CMa.,-1.46.,101.287083.,-16.716111.,  A1Vm              .,0.375.,8.697493333.,CMa
   Tau Pup.,2.93.,102.484167.,-50.614722.,  K1III             .,.,.,Pup
 21Eps CMa.,1.5.,104.65625.,-28.972222.,  B2II              .,0.001.,3261.56.,CMa
 25Del CMa.,1.84.,107.097917.,-26.393333.,  F8Ia              .,-0.011.,.,CMa
   Pi  Pup.,2.7.,109.285833.,-37.0975.,  K3Ib              .,0.032.,101.92375.,Pup
 31Eta CMa.,2.45.,111.02375.,-29.303056.,  B5Ia              .,.,.,CMa
  3Bet CMi.,2.9.,111.7875.,8.289444.,  B8Ve              .,0.019.,171.6610526.,CMi
 66Alp Gem.,2.88.,113.65.,31.888611.,  A2Vm              .,0.067.,48.68.,Gem
 66Alp Gem.,1.98.,113.65.,31.888333.,  A1V               .,0.067.,48.68.,Gem
 10Alp CMi.,0.38.,114.825417.,5.225.,  F5IV-V            .,0.288.,11.32486111.,CMi
 78Bet Gem.,1.14.,116.32875.,28.026111.,  K0IIIb            .,0.094.,34.69744681.,Gem
   Zet Pup.,2.25.,120.89625.,-40.003333.,  O5f               .,.,.,Pup
 15Rho Pup.,2.81.,121.885833.,-24.304167.,  F6IIpDel Del      .,0.035.,93.18742857.,Pup
   Gam2Vel.,1.78.,122.383333.,-47.336667.,  WC8+O9I           .,0.017.,191.8564706.,Gam2Vel
   Eps Car.,1.86.,125.628333.,-59.509722.,  K3III+B2:V        .,.,.,Car
   Del Vel.,1.96.,131.175833.,-54.708333.,  A1V               .,0.051.,63.95215686.,Vel
   Lam Vel.,2.21.,136.999167.,-43.4325.,  K4.5Ib-II         .,0.022.,148.2527273.,Vel
   Bet Car.,1.68.,138.3.,-69.717222.,  A2IV              .,0.021.,155.312381.,Car
   Iot Car.,2.25.,139.2725.,-59.275278.,  A8Ib              .,0.017.,191.8564706.,Car
   Kap Vel.,2.5.,140.528333.,-55.010833.,  B2IV-V            .,0.013.,250.8892308.,Vel
 30Alp Hya.,1.98.,141.896667.,-8.658611.,  K3II-III          .,0.022.,148.2527273.,Hya
 17Eps Leo.,2.98.,146.462917.,23.774167.,  G1II              .,0.01.,326.156.,Leo
 32Alp Leo.,1.35.,152.092917.,11.967222.,  B7V               .,0.045.,72.47911111.,Leo
 41Gam1Leo.,2.61.,154.992917.,19.841667.,  K1-IIIbFe-0.5     .,0.022.,148.2527273.,41Gam1Leo
   The Car.,2.76.,160.739167.,-64.394444.,  B0Vp              .,.,.,Car
   Mu  Vel.,2.69.,161.6925.,-49.42.,  G5III+G2V         .,0.022.,148.2527273.,Vel
 48Bet UMa.,2.37.,165.460417.,56.3825.,  A1V               .,0.053.,61.53886792.,UMa
 50Alp UMa.,1.79.,165.932083.,61.750833.,  K0IIIa            .,0.038.,85.83052632.,UMa
 68Del Leo.,2.56.,168.527083.,20.523611.,  A4V               .,0.048.,67.94916667.,Leo
 94Bet Leo.,2.14.,177.265.,14.571944.,  A3V               .,0.082.,39.77512195.,Leo
 64Gam UMa.,2.44.,178.4575.,53.694722.,  A0Ve              .,0.028.,116.4842857.,UMa
   Del Cen.,2.6.,182.089583.,-50.7225.,  B2IVne            .,0.026.,125.4446154.,Cen
   Del Cru.,2.8.,183.78625.,-58.748889.,  B2IV              .,0.003.,1087.186667.,Cru
  4Gam Crv.,2.59.,183.951667.,-17.541944.,  B8IIIpHgMn        .,.,.,Crv
   Alp1Cru.,1.33.,186.649583.,-63.099167.,  B0.5IV            .,0.008.,407.695.,Alp1Cru
   Alp2Cru.,1.73.,186.652083.,-63.099444.,  B1V               .,0.008.,407.695.,Alp2Cru
  7Del Crv.,2.95.,187.46625.,-16.515556.,  B9.5V             .,0.024.,135.8983333.,Crv
   Gam Cru.,1.63.,187.79125.,-57.113333.,  M3.5III           .,.,.,Cru
  9Bet Crv.,2.65.,188.596667.,-23.396667.,  G5II              .,0.034.,95.92823529.,Crv
   Alp Mus.,2.69.,189.295833.,-69.135556.,  B2IV-V            .,.,.,Mus
   Gam Cen.,2.17.,190.379167.,-48.959722.,  A1IV              .,0.016.,203.8475.,Cen
   Bet Cru.,1.25.,191.93.,-59.688611.,  B0.5III           .,.,.,Cru
 77Eps UMa.,1.77.,193.507083.,55.959722.,  A0pCr             .,0.009.,362.3955556.,UMa
 12Alp2CVn.,2.9.,194.007083.,38.318333.,  A0pSiEuHg         .,0.027.,120.7985185.,12Alp2CVn
 47Eps Vir.,2.83.,195.544167.,10.959167.,  G8IIIab           .,0.043.,75.85023256.,Vir
   Iot Cen.,2.75.,200.149167.,-36.712222.,  A2V               .,0.062.,52.60580645.,Cen
 79Zet UMa.,2.27.,200.98125.,54.925278.,  A1VpSrSi          .,0.047.,69.39489362.,UMa
 67Alp Vir.,0.98.,201.298333.,-11.161389.,  B1III-IV+B2V      .,0.023.,141.8069565.,Vir
   Eps Cen.,2.3.,204.971667.,-53.466389.,  B1III             .,.,.,Cen
 85Eta UMa.,1.86.,206.885.,49.313333.,  B3V               .,0.035.,93.18742857.,UMa
   Zet Cen.,2.55.,208.885.,-47.288333.,  B2.5IV            .,.,.,Cen
  8Eta Boo.,2.68.,208.67125.,18.397778.,  G0IV              .,0.108.,30.19962963.,Boo
   Bet Cen.,0.61.,210.955833.,-60.373056.,  B1III             .,0.009.,362.3955556.,Cen
  5The Cen.,2.06.,211.670833.,-36.37.,  K0-IIIb           .,0.065.,50.17784615.,Cen
 16Alp Boo.,-0.04.,213.915417.,19.1825.,  K1.5IIIFe-0.5     .,0.09.,36.23955556.,Boo
   Eta Cen.,2.31.,218.876667.,-42.157778.,  B1.5Vne           .,.,.,Cen
   Alp1Cen.,-0.01.,219.899583.,-60.835278.,  G2V               .,0.751.,4.342956059.,Alp1Cen
   Alp2Cen.,1.33.,219.900417.,-60.835556.,  K1V               .,0.751.,4.342956059.,Alp2Cen
   Alp Lup.,2.3.,220.4825.,-47.388333.,  B1.5III/Vn        .,.,.,Lup
 36Eps Boo.,2.7.,221.246667.,27.074167.,  K0-II-III         .,0.016.,203.8475.,Boo
  9Alp2Lib.,2.75.,222.719583.,-16.041667.,  A3IV              .,0.058.,56.2337931.,9Alp2Lib
  7Bet UMi.,2.08.,222.67625.,74.155556.,  K4-III            .,0.039.,83.62974359.,UMi
   Bet Lup.,2.68.,224.632917.,-43.133889.,  B2III/IV          .,.,.,Lup
   Gam TrA.,2.89.,229.7275.,-68.679444.,  A1V               .,0.01.,326.156.,TrA
 27Bet Lib.,2.61.,229.251667.,-9.383056.,  B8V               .,-0.003.,.,Lib
   Gam Lup.,2.78.,233.785417.,-41.166944.,  B2IV              .,0.008.,407.695.,Lup
  5Alp CrB.,2.23.,233.672083.,26.714722.,  A0V+G5V           .,0.045.,72.47911111.,CrB
 24Alp Ser.,2.65.,236.067083.,6.425556.,  K2IIIbCN1         .,0.053.,61.53886792.,Ser
   Bet TrA.,2.85.,238.785417.,-63.430556.,  F2III             .,0.083.,39.29590361.,TrA
  6Pi  Sco.,2.89.,239.712917.,-26.114167.,  B1V+B2V           .,0.01.,326.156.,Sco
  7Del Sco.,2.32.,240.083333.,-22.621667.,  B0.3IV            .,.,.,Sco
          .,2.,239.875833.,25.920278.,sdBe+gM3+Q          .,.,.,
  8Bet1Sco.,2.62.,241.359167.,-19.805556.,  B1V               .,0.009.,362.3955556.,8Bet1Sco
  1Del Oph.,2.74.,243.58625.,-3.694444.,  M0.5III           .,0.034.,95.92823529.,Oph
 20Sig Sco.,2.89.,245.297083.,-25.592778.,  B1III             .,.,.,Sco
 14Eta Dra.,2.74.,245.997917.,61.514167.,  G8-IIIab          .,0.051.,63.95215686.,Dra
 21Alp Sco.,0.96.,247.351667.,-26.431944.,  M1.5Iab-Ib+B4Ve   .,0.024.,135.8983333.,Sco
 27Bet Her.,2.77.,247.555.,21.489722.,  G7IIIa            .,0.024.,135.8983333.,Her
 23Tau Sco.,2.82.,248.970833.,-28.216111.,  B0V               .,0.02.,163.078.,Sco
 13Zet Oph.,2.56.,249.289583.,-10.567222.,  O9.5Vn            .,0.003.,1087.186667.,Oph
 40Zet Her.,2.81.,250.321667.,31.603056.,  G0IV              .,0.102.,31.97607843.,Her
   Alp TrA.,1.92.,252.16625.,-69.027778.,  K2IIb-IIIa        .,0.031.,105.2116129.,TrA
 26Eps Sco.,2.29.,252.540833.,-34.293333.,  K2.5III           .,0.022.,148.2527273.,Sco
 35Eta Oph.,2.43.,257.594583.,-15.724722.,  A2V               .,0.052.,62.72230769.,Oph
   Bet Ara.,2.85.,261.325.,-55.53.,  K3Ib-IIa          .,0.034.,95.92823529.,Ara
 34Ups Sco.,2.69.,262.690833.,-37.295833.,  B2IV              .,.,.,Sco
   Alp Ara.,2.95.,262.960417.,-49.876111.,  B2Vne             .,0.007.,465.9371429.,Ara
 35Lam Sco.,1.63.,263.402083.,-37.103889.,  B2IV+B            .,.,.,Sco
 23Bet Dra.,2.79.,262.608333.,52.301389.,  G2Ib-IIa          .,0.013.,250.8892308.,Dra
   The Sco.,1.87.,264.33.,-42.997778.,  F1II              .,0.027.,120.7985185.,Sco
 55Alp Oph.,2.08.,263.73375.,12.56.,  A5III             .,0.067.,48.68.,Oph
   Kap Sco.,2.41.,265.622083.,-39.03.,  B1.5III           .,.,.,Sco
 60Bet Oph.,2.77.,265.868333.,4.567222.,  K2III             .,0.033.,98.83515152.,Oph
 33Gam Dra.,2.23.,269.151667.,51.488889.,  K5III             .,0.025.,130.4624.,Dra
 10Gam2Sgr.,2.99.,271.452083.,-30.424167.,  K0III             .,0.025.,130.4624.,10Gam2Sgr
 19Del Sgr.,2.7.,275.24875.,-29.828056.,  K3-IIIa*          .,0.047.,69.39489362.,Sgr
 20Eps Sgr.,1.85.,276.042917.,-34.384722.,  B9.5III           .,0.023.,141.8069565.,Sgr
 22Lam Sgr.,2.81.,276.9925.,-25.421667.,  K1+IIIb           .,0.053.,61.53886792.,Sgr
  3Alp Lyr.,0.03.,279.234583.,38.783611.,  A0Va              .,0.123.,26.51674797.,Lyr
 34Sig Sgr.,2.02.,283.81625.,-26.296667.,  B2.5V             .,.,.,Sgr
 38Zet Sgr.,2.6.,285.652917.,-29.880278.,  A2III+A4IV        .,0.025.,130.4624.,Sgr
 17Zet Aql.,2.99.,286.3525.,13.863333.,  A0Vn              .,0.045.,72.47911111.,Aql
 41Pi  Sgr.,2.89.,287.440833.,-21.023611.,  F2II              .,0.026.,125.4446154.,Sgr
 50Gam Aql.,2.72.,296.565.,10.613333.,  K3II              .,0.016.,203.8475.,Aql
 18Del Cyg.,2.87.,296.24375.,45.130833.,  B9.5IV+F1V        .,0.03.,108.7186667.,Cyg
 53Alp Aql.,0.77.,297.695833.,8.868333.,  A7V               .,0.198.,16.47252525.,Aql
   Alp Pav.,1.94.,306.412083.,-56.735.,  B2IV              .,.,.,Pav
 37Gam Cyg.,2.2.,305.557083.,40.256667.,  F8Ib              .,0.003.,1087.186667.,Cyg
 50Alp Cyg.,1.25.,310.357917.,45.280278.,  A2Ia              .,-0.006.,.,Cyg
 53Eps Cyg.,2.46.,311.552917.,33.970278.,  K0-III            .,0.057.,57.22035088.,Cyg
  5Alp Cep.,2.44.,319.645.,62.585556.,  A7V               .,0.068.,47.96411765.,Cep
 22Bet Aqr.,2.91.,322.889583.,-5.571111.,  G0Ib              .,0.006.,543.5933333.,Aqr
  8Eps Peg.,2.39.,326.046667.,9.875.,  K2Ib              .,0.006.,543.5933333.,Peg
 49Del Cap.,2.87.,326.76.,-16.127222.,  Am                .,0.087.,37.4891954.,Cap
 34Alp Aqr.,2.96.,331.445833.,-0.319722.,  G2Ib              .,0.012.,271.7966667.,Aqr
   Alp Gru.,1.74.,332.058333.,-46.961111.,  B7IV              .,0.057.,57.22035088.,Gru
   Alp Tuc.,2.86.,334.625417.,-60.259722.,  K3III             .,0.026.,125.4446154.,Tuc
   Bet Gru.,2.1.,340.667083.,-46.884722.,  M5III             .,0.008.,407.695.,Gru
 44Eta Peg.,2.94.,340.750417.,30.221389.,  G2II-III+F0V      .,0.017.,191.8564706.,Peg
 24Alp PsA.,1.16.,344.412917.,-29.622222.,  A3V               .,0.149.,21.88966443.,PsA
 53Bet Peg.,2.42.,345.94375.,28.082778.,  M2.5II-III        .,0.022.,148.2527273.,Peg
 54Alp Peg.,2.49.,346.190417.,15.205278.,  B9V               .,0.038.,85.83052632.,Peg
