Name,Vmag,RA_deg,Dec_deg,SpType,Parallax_arcsec,Distance_ly,Constellation
   Del Phe,3.95,22.812917,-49.072778,  K0III             ,0.031,105.2116129,Phe
 39Chi Cas,4.71,23.482917,59.231944,  G9IIIb            ,0.021,155.312381,Cas
 50Ups And,4.09,24.199167,41.405556,  F8V               ,0.062,52.60580645,And
 51    And,3.57,24.498333,48.628333,  K3-III            ,0.021,155.312381,And
 52Chi And,4.98,24.8375,44.386111,  G8III             ,0.009,362.3955556,And
   Alp Eri,0.46,24.42875,-57.236667,  B3Vpe             ,0.026,125.4446154,Eri
 53Tau And,4.94,25.145,40.576944,  B8III             ,,,And
          ,4.95,25.446667,42.613611,  G1.5V             ,0.081,40.26617284,
106Nu  Psc,4.44,25.357917,5.4875,  K3IIIbBa0.1       ,0.041,79.5502439,Psc
   Phi Per,4.07,25.915,50.688611,  B2Vep             ,0.025,130.4624,Per
          ,4.99,25.68125,-3.690278,  K3II-III          ,0.009,362.3955556,
 52Tau Cet,3.5,26.017083,-15.9375,  G8V               ,0.275,11.86021818,Cet
110Omi Psc,4.26,26.348333,9.157778,  G8III             ,0.023,141.8069565,Psc
 53Chi Cet,4.67,27.39625,-10.686389,  F3III             ,0.046,70.90347826,Cet
 55Zet Cet,3.73,27.865,-10.335,  K0IIIBa0.1        ,0.031,105.2116129,Cet
 45Eps Cas,3.38,28.59875,63.67,  B3III             ,0.01,326.156,Cas
  2Alp Tri,3.41,28.270417,29.578889,  F6IV              ,0.057,57.22035088,Tri
  5Gam1Ari,4.83,28.3825,19.295833,  B9V               ,0.026,125.4446154,5Gam1Ari
  5Gam2Ari,4.75,28.3825,19.293611,  A1pSi             ,0.026,125.4446154,5Gam2Ari
 46Ome Cas,4.99,29,68.685278,  B8III             ,,,Cas
111Xi  Psc,4.62,28.38875,3.1875,  K0III             ,0.005,652.312,Psc
  6Bet Ari,2.64,28.66,20.808056,  A5V               ,0.074,44.07513514,Ari
   Psi Phe,4.41,28.411667,-46.3025,  M4III             ,0.011,296.5054545,Phe
 56    Cet,4.85,29.1675,-22.526944,  K4III             ,-0.012,,Cet
   Chi Eri,3.7,28.989583,-51.608889,  G8IIIbCNIV        ,0.058,56.2337931,Eri
  9Lam Ari,4.79,29.482083,23.596111,  F0V               ,0.028,116.4842857,Ari
   Eta2Hyi,4.69,28.73375,-67.647222,  G8.5III           ,,,Eta2Hyi
          ,4.83,29.291667,-47.385,  G8III             ,0.021,155.312381,
 48    Cas,4.54,30.489167,70.906944,  A3IV              ,0.035,93.18742857,Cas
 50    Cas,3.98,30.85875,72.421389,  A2V               ,,,Cas
 59Ups Cet,4,30.00125,-21.077778,  M0III             ,0.007,465.9371429,Cet
   Alp Hyi,2.86,29.6925,-61.569722,  F0V               ,0.048,67.94916667,Hyi
113Alp Psc,4.33,30.511667,2.763611,  A0pSiSr           ,0.005,652.312,Psc
 57Gam1And,2.26,30.975,42.329722,  K3-IIb            ,0.013,250.8892308,57Gam1And
 57Gam2And,4.84,30.977917,42.330833,  B8V+A0V           ,0.013,250.8892308,57Gam2And
   Nu  For,4.69,31.1225,-29.296944,  B9.5pSi           ,,,For
 13Alp Ari,2,31.793333,23.4625,  K2-IIICa-1        ,0.049,66.56244898,Ari
 58    And,4.82,32.122083,37.859167,  A5IV-V            ,0.006,543.5933333,And
  4Bet Tri,3,32.385833,34.987222,  A5III             ,0.022,148.2527273,Tri
 14    Ari,4.98,32.355417,25.939722,  F2III             ,,,Ari
  6    Tri,4.94,33.092917,30.303056,  G5III+F5V         ,0.004,815.39,Tri
 60    And,4.83,33.305417,44.231667,  K3.5IIIBa0.5:     ,,,And
 65Xi 1Cet,4.37,33.25,8.846667,  G6II-IIICN-2      ,0.022,148.2527273,1Cet
  8Del Tri,4.87,34.263333,34.224167,  G0.5V             ,0.093,35.07053763,Tri
  9Gam Tri,4.01,34.32875,33.847222,  A1Vnn             ,0.039,83.62974359,Tri
   Phi Eri,3.56,34.1275,-51.512222,  B8V-IV            ,,,Eri
 68Omi Cet,3.04,34.83625,-2.9775,  M7IIIe+Bep        ,0.024,135.8983333,Cet
 65    And,4.71,36.405833,50.278611,  K4+III            ,0.011,296.5054545,And
   Del Hyi,4.09,35.437083,-68.659444,  A3V               ,0.05,65.2312,Hyi
   Iot Cas,4.52,37.266667,67.4025,  A5pSr             ,0.023,141.8069565,Cas
 72Rho Cet,4.89,36.4875,-12.290556,  B9.5Vn            ,0.029,112.4675862,Cet
 73Xi 2Cet,4.28,37.039583,8.46,  B9III             ,0.03,108.7186667,2Cet
   Kap Eri,4.25,36.74625,-47.703889,  B5IV              ,,,Eri
 76Sig Cet,4.75,38.021667,-15.244722,  F4IV              ,0.035,93.18742857,Cet
   Ome For,4.9,38.46125,-28.2325,  B9.5V             ,,,For
 78Nu  Cet,4.86,38.96875,5.593333,  G8III             ,0.002,1630.78,Cet
 82Del Cet,4.07,39.870833,0.328611,  B2IV              ,0.001,3261.56,Cet
 83Eps Cet,4.84,39.890833,-11.872222,  F5V+F6V           ,0.072,45.29944444,Cet
 12    Per,4.91,40.562083,40.193889,  F9V               ,0.043,75.85023256,Per
          ,4.75,39.95,-42.891667,  A2V               ,0.028,116.4842857,
   Iot Eri,4.11,40.166667,-39.855556,  K0III             ,0.038,85.83052632,Eri
 13The Per,4.12,41.05,49.228333,  F8V               ,0.077,42.35792208,Per
 35    Ari,4.66,40.862917,27.707222,  B3V               ,,,Ari
 86Gam Cet,3.47,40.825,3.235833,  A3V               ,0.052,62.72230769,Cet
   Eps Hyi,4.11,39.8975,-68.266944,  B9V               ,,,Hyi
 89Pi  Cet,4.25,41.030833,-13.858611,  B7V               ,,,Cet
 87Mu  Cet,4.27,41.235417,10.114167,  F0IV              ,0.046,70.90347826,Cet
  1Tau1Eri,4.47,41.275833,-18.5725,  F6V               ,0.072,45.29944444,1Tau1Eri
 39    Ari,4.51,41.977083,29.247222,  K1.5III           ,0.027,120.7985185,Ari
 15Eta Per,3.76,42.674167,55.895556,  K3-Ib-IIa         ,0.006,543.5933333,Per
   Zet Hyi,4.84,41.385833,-67.616667,  A2IV-V            ,0.009,362.3955556,Hyi
 41    Ari,3.63,42.495833,27.260556,  B8Vn              ,0.034,95.92823529,Ari
 16    Per,4.23,42.64625,38.318611,  F2III             ,0.024,135.8983333,Per
   Bet For,4.46,42.2725,-32.405833,  K0-IIIFe-0.5      ,0.026,125.4446154,For
 17    Per,4.53,42.878333,35.059722,  K5+III            ,0.004,815.39,Per
  2Tau2Eri,4.75,42.759583,-21.004167,  K0III             ,0.031,105.2116129,2Tau2Eri
 18Tau Per,3.95,43.564583,52.7625,  G4III+A4V         ,0.019,171.6610526,Per
          ,4,43.470417,-49.890278,  M7IIIe            ,0.013,250.8892308,
   Nu  Hyi,4.75,42.61875,-75.066944,  K3III             ,0.011,296.5054545,Hyi
  3Eta Eri,3.89,44.107083,-8.898056,  K1-IIIbBa0.2:     ,0.033,98.83515152,Eri
 22Pi  Per,4.7,44.690417,39.662778,  A2Vn              ,0.009,362.3955556,Per
 24    Per,4.93,44.765417,35.183056,  K2III             ,,,Per
 48Eps Ari,4.63,44.802917,21.340278,  A2V s             ,0.005,652.312,Ari
 48Eps Ari,4.63,44.802917,21.340278,  A2V s             ,0.005,652.312,Ari
 91Lam Cet,4.7,44.92875,8.9075,  B6III             ,,,Cet
   The1Eri,3.24,44.565417,-40.304722,  A4III             ,0.035,93.18742857,The1Eri
   The2Eri,4.35,44.567917,-40.304444,  A1V               ,0.035,93.18742857,The2Eri
   Bet Hor,4.99,44.699167,-64.071389,  A3-5IIIm:         ,,,Hor
 92Alp Cet,2.53,45.57,4.089722,  M1.5IIIa          ,0.009,362.3955556,Cet
 23Gam Per,2.93,46.199167,53.506389,  G8III+A2V         ,0.016,203.8475,Per
          ,4.76,46.385,56.705833,  G9.5III           ,0.005,652.312,
 11Tau3Eri,4.09,45.597917,-23.624444,  A4IV              ,0.059,55.28067797,11Tau3Eri
 25Rho Per,3.39,46.294167,38.840278,  M4II              ,0.011,296.5054545,Per
          ,4.87,47.984583,74.393611,  A2Vnn             ,0.032,101.92375,
 26Bet Per,2.12,47.042083,40.955556,  B8V               ,0.045,72.47911111,Per
   Iot Per,4.05,47.266667,49.613333,  G0V               ,0.084,38.82809524,Per
 27Kap Per,3.8,47.374167,44.857222,  K0III             ,0.033,98.83515152,Per
 28Ome Per,4.63,47.8225,39.611667,  K1III             ,0.023,141.8069565,Per
 57Del Ari,4.35,47.9075,19.726667,  K2III             ,0.027,120.7985185,Ari
   Alp For,3.87,48.017917,-28.986944,  F8V               ,0.075,43.48746667,For
 58Zet Ari,4.89,48.725417,21.044444,  A1V               ,0.02,163.078,Ari
 13Zet Eri,4.8,48.958333,-8.819722,  A5m               ,0.025,130.4624,Eri
          ,4.84,49.9975,65.652222,  B2.5Ven           ,0.009,362.3955556,
          ,4.82,49.6825,34.222778,  K2IICN1           ,0.012,271.7966667,
 15    Eri,4.88,49.592083,-22.511389,  G6III             ,0.028,116.4842857,Eri
 96Kap1Cet,4.83,49.840417,3.370278,  G5V               ,0.108,30.19962963,96Kap1Cet
          ,4.47,50.085,29.048333,  K2II-III          ,-0.008,,
 32    Per,4.95,50.360417,43.329444,  A3V               ,0.026,125.4446154,Per
 16Tau4Eri,3.69,49.879167,-21.757778,  M3.5IIIaCa-1      ,-0.013,,16Tau4Eri
          ,4.27,49.982083,-43.069722,  G8V               ,0.156,20.9074359,
 33Alp Per,1.79,51.080833,49.861111,  F5Ib              ,0.016,203.8475,Per
  1Omi Tau,3.6,51.203333,9.028889,  G6IIIFe-1         ,0.016,203.8475,Tau
          ,4.98,52.012917,49.062778,  B5V               ,,,
          ,4.21,52.267083,59.940278,  B9Ia              ,,,
  2Xi  Tau,3.74,51.7925,9.732778,  B9Vn              ,-0.017,,Tau
          ,4.54,52.47875,58.878611,  A0Ia              ,,,
 34    Per,4.67,52.342083,49.508889,  B3V               ,0.018,181.1977778,Per
 35Sig Per,4.36,52.64375,47.995278,  K3III             ,0.004,815.39,Per
  5    Tau,4.11,52.718333,12.936667,  K0II-IIIFe-0.5    ,-0.012,,Tau
 17    Eri,4.73,52.654583,-5.075278,  B9V s             ,,,Eri
   Kap Ret,4.72,52.344583,-62.9375,  F5IV-V            ,0.06,54.35933333,Ret
 18Eps Eri,3.73,53.2325,-9.458333,  K2V               ,0.303,10.76422442,Eri
 37Psi Per,4.23,54.1225,48.192778,  B5Ve              ,,,Per
 19Tau5Eri,4.27,53.447083,-21.632778,  B8V+B8V           ,,,19Tau5Eri
 10    Tau,4.28,54.218333,0.401667,  F9IV-V            ,0.054,60.39925926,Tau
          ,4.58,54.27375,-40.274722,  K1III             ,0.011,296.5054545,
 39Del Per,3.01,55.73125,47.7875,  B5IIIe            ,0.016,203.8475,Per
 40    Per,4.97,55.59375,33.965,  B0.5V             ,,,Per
          ,4.8,56.509583,63.345,  G0III+A3V         ,0,,
 38Omi Per,3.83,56.079583,32.288333,  B1III             ,0.023,141.8069565,Per
   Del For,5,55.562083,-31.938333,  B5IV              ,,,For
 41Nu  Per,3.77,56.298333,42.578611,  F5II              ,0.02,163.078,Per
 23Del Eri,3.54,55.812083,-9.763333,  K0+IV             ,0.109,29.92256881,Eri
 17    Tau,3.7,56.21875,24.113333,  B6III             ,0.02,163.078,Tau
          ,4.59,55.70875,-37.313611,  K2.5III           ,0.028,116.4842857,
 19    Tau,4.3,56.302083,24.467222,  B6IV              ,,,Tau
   Gam Cam,4.63,57.589583,71.332222,  A2IVn             ,0.012,271.7966667,Cam
 20    Tau,3.87,56.456667,24.367778,  B8III             ,,,Tau
          ,4.47,57.38,65.526111,  M2+IIab           ,0.014,232.9685714,
 23    Tau,4.18,56.581667,23.948333,  B6IVe             ,,,Tau
 26Pi  Eri,4.42,56.535417,-12.101667,  M2III             ,0,,Eri
 25Eta Tau,2.87,56.87125,24.105,  B7IIIe            ,0.008,407.695,Tau
 27Tau6Eri,4.23,56.712083,-23.249722,  F3III             ,0.059,55.28067797,27Tau6Eri
   Bet Ret,3.85,56.05,-64.806944,  K2+III            ,0.042,77.65619048,Ret
 27    Tau,3.63,57.290417,24.053333,  B8III             ,-0.026,,Tau
          ,4.73,57.149583,-37.620556,  B9V               ,0.024,135.8983333,
          ,4.17,57.36375,-36.200278,  G9II-III          ,0.025,130.4624,
 44Zet Per,2.85,58.532917,31.883611,  B1Ib              ,0.01,326.156,Per
          ,5,59.284583,61.108889,  K3I-II+A3V:       ,0.015,217.4373333,
   Gam Hyi,3.24,56.809583,-74.238889,  M2III             ,0.005,652.312,Hyi
 32    Eri,4.79,58.572917,-2.954722,  G8III             ,0.004,815.39,Eri
 33Tau8Eri,4.65,58.4275,-24.6125,  B6V               ,,,33Tau8Eri
 45Eps Per,2.89,59.463333,40.010278,  B0.5V+A2V         ,0.009,362.3955556,Per
 46Xi  Per,4.04,59.74125,35.791111,  O7.5III(n)((f))   ,-0.004,,Per
 34Gam Eri,2.95,59.5075,-13.508611,  M0.5IIICa-1Cr-1   ,0.01,326.156,Eri
 35Lam Tau,3.47,60.17,12.490278,  B3V+A4IV          ,0.002,1630.78,Tau
 36Tau9Eri,4.66,59.98125,-24.016389,  B6V+B9.5V         ,0.015,217.4373333,36Tau9Eri
   Del Ret,4.56,59.68625,-61.400278,  M2IIIab           ,-0.001,,Ret
 38Nu  Tau,3.91,60.789167,5.989167,  A1V               ,0.03,108.7186667,Tau
 37    Tau,4.36,61.17375,22.081944,  K0+III-IIIaFe-0.2 ,0.013,250.8892308,Tau
 47Lam Per,4.29,61.645833,50.351389,  A0IVn             ,,,Per
   Gam Ret,4.51,60.224167,-62.159444,  M4III             ,,,Ret
   Iot Ret,4.97,60.325833,-61.078889,  K4III             ,0.014,232.9685714,Ret
 48    Per,4.04,62.165417,47.7125,  B3Ve              ,0.02,163.078,Per
 38Omi1Eri,4.04,62.96625,-6.8375,  F2II-III          ,0.033,98.83515152,38Omi1Eri
   Del Hor,4.93,62.710833,-41.993611,  A9V               ,0.012,271.7966667,Hor
 51Mu  Per,4.14,63.724583,48.409444,  G0Ib              ,0.017,191.8564706,Per
 52    Per,4.71,63.722083,40.483611,  G5Ib+A2V          ,0.004,815.39,Per
 47    Tau,4.84,63.485,9.263611,  G5III+A7V?        ,0.029,112.4675862,Tau
 39    Eri,4.87,63.59875,-10.256389,  K3III             ,0.015,217.4373333,Eri
 49Mu  Tau,4.29,63.88375,8.892222,  B3IV              ,,,Tau
          ,4.61,64.560833,50.295556,  A2V               ,,,
 40Omi2Eri,4.43,63.817917,-7.652778,  K1-V              ,0.209,15.60555024,40Omi2Eri
   Alp Hor,3.86,63.500417,-42.294444,  K1III             ,0.026,125.4446154,Hor
 50Ome2Tau,4.94,64.315,20.578611,  A3m               ,,,50Ome2Tau
   Alp Ret,3.35,63.60625,-62.473889,  G8II-III          ,0.013,250.8892308,Ret
   Gam Dor,4.25,64.006667,-51.486667,  F4III             ,0.061,53.46819672,Dor
 54    Per,4.93,65.1025,34.566667,  G8III             ,,,Per
 54Gam Tau,3.65,64.948333,15.6275,  K0-IIIabCN1       ,0.028,116.4842857,Tau
 41Ups4Eri,3.56,64.47375,-33.798333,  B9V               ,,,41Ups4Eri
 52Phi Tau,4.95,65.08875,27.350833,  K1III             ,,,Tau
 53    Per,4.85,65.388333,46.498889,  B4IV              ,,,Per
   Eps Ret,4.44,64.120417,-59.301944,  K2IVa             ,0.067,48.68,Ret
 61Del1Tau,3.76,65.73375,17.5425,  K0-IIICN0.5       ,0.021,155.312381,61Del1Tau
 64Del2Tau,4.8,66.024167,17.443889,  A7V               ,0.017,191.8564706,64Del2Tau
 65Kap1Tau,4.22,66.342083,22.293889,  A7IV-V            ,0.025,130.4624,65Kap1Tau
 68Del3Tau,4.29,66.3725,17.928056,  A2IV              ,0.019,171.6610526,68Del3Tau
 69Ups Tau,4.28,66.577083,22.813611,  A8Vn              ,0.036,90.59888889,Tau
 43    Eri,3.96,66.009167,-34.016944,  K4III             ,-0.008,,Eri
 71    Tau,4.49,66.586667,15.618333,  F0V               ,0.007,465.9371429,Tau
 73Pi  Tau,4.69,66.651667,14.713611,  G7IIIaFe-1        ,0.014,232.9685714,Tau
 75    Tau,4.97,67.11,16.359722,  K2III             ,,,Tau
 74Eps Tau,3.53,67.154167,19.180278,  G9.5IIICN0.5      ,0.02,163.078,Tau
 77The1Tau,3.84,67.14375,15.962222,  K0IIIbFe-0.5      ,0.038,85.83052632,77The1Tau
 78The2Tau,3.4,67.165417,15.870833,  A7III             ,0.029,112.4675862,78The2Tau
          ,4.78,67.640417,16.193889,  A6IV              ,0.053,61.53886792,
 45    Eri,4.91,67.969583,-0.043889,  K3II-III          ,-0.009,,Eri
 86Rho Tau,4.65,68.462083,14.844444,  A8V               ,0.026,125.4446154,Tau
 50Ups1Eri,4.51,68.3775,-29.766667,  K0IIICN-1         ,0.028,116.4842857,50Ups1Eri
 58    Per,4.25,69.1725,41.264722,  K4III+A3V         ,0.016,203.8475,Per
 87Alp Tau,0.85,68.98,16.509167,  K5+III            ,0.048,67.94916667,Tau
 88    Tau,4.25,68.91375,10.160833,  A5m               ,0.036,90.59888889,Tau
 48Nu  Eri,3.93,69.079583,-3.3525,  B2III             ,,,Eri
 52Ups2Eri,3.82,68.8875,-30.562222,  G8IIIa            ,-0.014,,52Ups2Eri
   Alp Dor,3.27,68.499167,-55.045,  A0IIISi           ,0.018,181.1977778,Dor
 90    Tau,4.27,69.539583,12.510833,  A6V               ,0.024,135.8983333,Tau
 92Sig2Tau,4.69,69.81875,15.918056,  A5Vn              ,0.02,163.078,92Sig2Tau
 53    Eri,3.87,69.545,-14.303889,  K2IIIb            ,0.044,74.12636364,Eri
 54    Eri,4.32,70.110417,-19.671667,  M4III             ,0.008,407.695,Eri
 94Tau Tau,4.28,70.56125,22.956944,  B3V               ,0.017,191.8564706,Tau
   Alp Cae,4.45,70.140417,-41.863889,  F2V               ,0.045,72.47911111,Cae
 57Mu  Eri,4.02,71.375417,-3.254722,  B5IV              ,,,Eri
          ,4.88,72.4775,37.488333,  K3.5IIIBa0.2:     ,0.025,130.4624,
  9Alp Cam,4.29,73.5125,66.342778,  O9.5Ia            ,-0.002,,Cam
  1Pi 3Ori,3.19,72.46,6.961389,  F6V               ,0.125,26.09248,3Ori
  2Pi 2Ori,4.36,72.652917,8.900278,  A1Vn              ,0.036,90.59888889,2Ori
  2    Aur,4.78,73.158333,36.703056,  K2.5IIIbBa0.4     ,,,Aur
  3Pi 4Ori,3.69,72.801667,5.605,  B2III+B2IV        ,0.001,3261.56,4Ori
  4Omi1Ori,4.74,73.133333,14.250556,  S3.5/1-           ,0.004,815.39,4Omi1Ori
 61Ome Eri,4.39,73.22375,-5.452778,  F4III+A6III       ,0.013,250.8892308,Eri
  8Pi 5Ori,3.72,73.562917,2.440556,  B3III+B0V         ,0.003,1087.186667,5Ori
  7    Cam,4.47,74.321667,53.752222,  A1V               ,0,,Cam
  7Pi 1Ori,4.65,73.724167,10.150833,  A0Vp              ,,,1Ori
  3Iot Aur,2.69,74.248333,33.166111,  K3II              ,0.021,155.312381,Aur
  9Omi2Ori,4.07,74.092917,13.514444,  K2-IIIFe-1        ,0.019,171.6610526,9Omi2Ori
  4Ome Aur,4.94,74.814167,37.890278,  A1V               ,0.005,652.312,Aur
 10Pi 6Ori,4.47,74.637083,1.714167,  K2-II             ,0.018,181.1977778,6Ori
 10Bet Cam,4.03,75.854583,60.442222,  G1Ib-IIa          ,0.009,362.3955556,Cam
  7Eps Aur,2.99,75.492083,43.823333,  F0Iae+B           ,0.007,465.9371429,Aur
 64    Eri,4.79,74.9825,-12.5375,  F0IV              ,0.022,148.2527273,Eri
  8Zet Aur,3.75,75.619583,41.075833,  K4II+B8V          ,0.005,652.312,Aur
 65Psi Eri,4.81,75.359583,-7.173889,  B3V               ,,,Eri
102Iot Tau,4.64,75.77375,21.59,  A7V               ,0.019,171.6610526,Tau
          ,4.91,75.356667,-20.051944,  B9.5Vn            ,,,
  9    Aur,5,76.669167,51.597778,  F0V               ,0.052,62.72230769,Aur
 11    Ori,4.68,76.142083,15.404167,  A0pSi             ,0.018,181.1977778,Ori
 10Eta Aur,3.17,76.62875,41.234444,  B3V               ,0.022,148.2527273,Aur
   Gam1Cae,4.55,76.101667,-35.483333,  K3III             ,0.013,250.8892308,Gam1Cae
  2Eps Lep,3.19,76.365417,-22.371111,  K5III             ,0.011,296.5054545,Lep
104    Tau,5,76.8625,18.645,  G4V               ,0.061,53.46819672,Tau
 67Bet Eri,2.79,76.9625,-5.086389,  A3III             ,0.05,65.2312,Eri
   Zet Dor,4.72,76.3775,-57.472778,  F7V               ,0.085,38.37129412,Dor
 15    Ori,4.82,77.425,15.597222,  F2IV              ,0.004,815.39,Ori
 69Lam Eri,4.27,77.286667,-8.754167,  B2IVne            ,-0.003,,Eri
 11Mu  Aur,4.86,78.357083,38.484444,  A4Vm              ,0.023,141.8069565,Aur
  3Iot Lep,4.45,78.074583,-11.869167,  B8V               ,,,Lep
 17Rho Ori,4.46,78.322917,2.861111,  K0.5III           ,-0.01,,Ori
  5Mu  Lep,3.31,78.232917,-16.205556,  B9IIIpHgMn        ,0.023,141.8069565,Lep
  4Kap Lep,4.36,78.307917,-12.941389,  B9V               ,0.034,95.92823529,Lep
 13Alp Aur,0.08,79.1725,45.998056,  G5IIIe+G0III      ,0.073,44.67890411,Aur
