Name,Vmag,RA_deg,Dec_deg,SpType,Parallax_arcsec,Distance_ly,Constellation
          ,6.35,3.794167,27.283056,  A1Vn              ,,,
          ,6.17,3.7425,-34.904444,  K3III             ,,,
          ,6.35,4.058333,76.950833,  B8Vnn             ,0.013,250.8892308,
          ,6.15,4.09,43.594722,  A2VpSi            ,,,
          ,5.67,4.037083,-31.446389,  K5III             ,,,
          ,6.49,3.98,-75.911389,  G8-K0III          ,,,
 36    Psc,6.11,4.142083,8.24,  G8II-III          ,,,Psc
          ,5.74,4.237917,61.533333,  G8III             ,,,
          ,6.47,4.177083,-20.210556,  B8III             ,,,
          ,5.89,4.287917,47.9475,  B7III             ,,,
 24The And,4.61,4.272917,38.681667,  A2V               ,0.022,148.2527273,And
          ,6.77,4.204167,-78.780556,  F3III             ,,,
          ,6.14,4.429167,51.433056,  O9IIInn           ,,,
          ,6.45,4.385833,-19.051111,  F4IV-V            ,,,
          ,6.17,4.44875,1.688889,  K0II              ,,,
 25Sig And,4.52,4.582083,36.785278,  A2V               ,0.023,141.8069565,And
          ,6.05,4.571667,11.205833,  K0III             ,,,
 26    And,6.11,4.675417,43.791111,  B8V               ,,,And
          ,5.87,4.659583,31.517222,  A0IV              ,,,
          ,6.46,4.674167,-8.052778,  G0V               ,0.053,61.53886792,
          ,6.33,4.6775,-43.235278,  K2III             ,,,
  8Iot Cet,3.56,4.857083,-8.823889,  K1.5III           ,0.013,250.8892308,Cet
          ,6.33,4.923333,40.729722,  K1III             ,,,
          ,6.52,5.021667,48.865278,  A0V s             ,,,
   Zet Tuc,4.23,5.017917,-64.874722,  F9V               ,0.134,24.34,Tuc
          ,5.9,5.101667,30.935833,  B7V               ,,,
          ,5.79,5.189583,32.911389,  K5III             ,,,
 41    Psc,5.37,5.149583,8.190278, gK3                ,,,Psc
          ,6.56,5.227083,10.976944,  A0V               ,0.005,652.312,
 27Rho And,5.18,5.280417,37.968611,  F5III             ,0.017,191.8564706,And
   Pi  Tuc,5.51,5.1625,-69.625,  B9V               ,0.011,296.5054545,Tuc
   Iot Scl,5.18,5.38,-28.981667,  G5III             ,0.027,120.7985185,Scl
          ,5.12,5.442917,-20.057778,  M5IIe             ,,,
 42    Psc,6.23,5.60625,13.4825,  K3III             ,,,Psc
          ,5.97,5.369167,-77.426944,  K3III             ,,,
  9    Cet,6.39,5.715833,-12.209444,  G2V               ,0.049,66.56244898,Cet
          ,6.55,5.8025,-31.036111,  B9IVMn            ,,,
          ,7.39,6.008333,38.577222,  S6.5IIIeZr6Ti2    ,,,
          ,5.57,6.065,52.02,  B5IV              ,0.004,815.39,
 12    Cas,5.4,6.197917,61.831111,  B9III             ,0.015,217.4373333,Cas
          ,6.07,6.12375,-2.219167,  K1III             ,,,
          ,5.74,6.276667,53.046944,  B9IV              ,,,
 44    Psc,5.77,6.350833,1.939722,  G5III             ,,,Psc
   Bet Hyi,2.8,6.437917,-77.254167,  G2IV              ,0.153,21.31738562,Hyi
   Alp Phe,2.39,6.570833,-42.306111,  K0III             ,0.035,93.18742857,Phe
   Kap Phe,3.94,6.550833,-43.68,  A7V               ,0.072,45.29944444,Phe
 10    Cet,6.19,6.655833,-0.049722,  G8III             ,,,Cet
          ,5.98,6.81125,-25.547222,  G8III             ,,,
 47    Psc,5.06,7.012083,17.893056,  M3III             ,0.016,203.8475,Psc
          ,5.17,7.057083,44.394444,  A2V s             ,0.013,250.8892308,
   Eta Scl,4.81,6.982083,-33.007222,  M4III             ,-0.014,,Scl
 48    Psc,6.06,7.052917,16.445,  K5III             ,,,Psc
          ,6.04,7.08375,10.189722,  F6Va vw           ,0.033,98.83515152,
          ,6.43,7.087917,-20.335,  G0V               ,0.034,95.92823529,
          ,5.43,7.11,-39.915,  M0III             ,0.015,217.4373333,
          ,6.26,7.235833,36.9,  G5III             ,,,
          ,6.26,7.179583,-50.532778,  K0III             ,,,
          ,6.21,7.729167,77.019444,  K0IV              ,0.023,141.8069565,
          ,5.94,7.582917,59.977222,  B9IIIn            ,0.002,1630.78,
 28    And,5.23,7.530417,29.751667,  A7III             ,0.001,3261.56,And
          ,6.14,7.46625,-14.864167,  F2III             ,,,
          ,6.57,7.45375,-32.116667,  K4III             ,,,
 12    Cet,5.72,7.51,-3.957222,  M0III             ,,,Cet
          ,5.19,7.594583,-23.787778,  A5Vn              ,0.018,181.1977778,
          ,6.19,7.615833,-40.939444,  F2III             ,,,
          ,5.69,7.60875,-48.215,  F2V               ,,,
 13    Cas,6.18,7.855417,66.519444,  B6V               ,,,Cas
          ,5.87,7.856667,33.581667,  K1III             ,,,
 14Lam Cas,4.73,7.943333,54.522222,  B8Vn              ,0.03,108.7186667,Cas
          ,5.6,7.921667,52.839444,  K2III             ,0.008,407.695,
   Lam1Phe,4.77,7.854167,-48.803611,  A0V               ,0.027,120.7985185,Lam1Phe
   Bet1Tuc,4.37,7.88625,-62.958056,  B9V               ,0.03,108.7186667,Bet1Tuc
   Bet2Tuc,4.54,7.89,-62.965833,  A2V+A7V           ,0.03,108.7186667,Bet2Tuc
          ,6.7,8.111667,43.494722,  A1Vn              ,,,
          ,6.42,8.330417,70.981667,  A0Vn              ,,,
 15Kap Cas,4.16,8.25,62.931667,  B1Ia              ,,,Cas
 52    Psc,5.38,8.147917,20.294444,  K0III             ,0.032,101.92375,Psc
 51    Psc,5.67,8.099167,6.955556,  B9.5V             ,,,Psc
          ,6.67,8.14375,27.580556,  A2IV              ,,,
          ,6.3,8.204583,28.280278,  K0III             ,0.006,543.5933333,
          ,5.93,8.293333,54.895,  K0III             ,,,
   Bet3Tuc,5.09,8.1825,-63.031111,  A0V               ,0.049,66.56244898,Bet3Tuc
 16    Cas,6.48,8.60375,66.750278,  B9III             ,,,Cas
          ,5.55,8.42125,-29.558333,  K2III             ,,,
   The Tuc,6.13,8.347083,-71.266111,  A7IV              ,,,Tuc
          ,5.57,8.615833,-52.373056,  F3IV-V            ,0.038,85.83052632,
          ,6.4,8.730417,13.371111,  K0                ,,,
 13    Cet,5.2,8.812083,-3.592778,  F8V               ,0.06,54.35933333,Cet
 14    Cet,5.93,8.886667,-0.505556,  F5IV              ,,,Cet
          ,5.08,9.034583,54.168611,  B7III             ,,,
          ,6.41,8.977917,13.206667,  F7V               ,0.02,163.078,
          ,5.79,9.11375,60.326111,  A4III             ,,,
   Lam2Phe,5.51,8.92125,-48.000833,  F6V               ,,,Lam2Phe
          ,6.06,8.889167,-54.821944,  K0IV              ,,,
          ,6.5,9.083333,27.254722,  B8IIIpHgMn:       ,,,
          ,6.45,9.0125,-14.973611,  G9III             ,,,
          ,6.06,9.02875,-22.8425,  A6pSr             ,,,
          ,5.13,9.194167,44.488611,  K5-M0III          ,0.007,465.9371429,
 17Zet Cas,3.66,9.242917,53.896944,  B2IV              ,0.004,815.39,Cas
 29Pi  And,4.36,9.220417,33.719444,  B5V               ,-0.003,,And
 53    Psc,5.89,9.197083,15.231667,  B2.5IV            ,,,Psc
          ,6.47,9.28,24.014167,  K2III             ,,,
          ,5.48,9.337917,35.399444,  G2.5IIa           ,,,
          ,6.4,9.947083,82.493889, dF6                ,0.028,116.4842857,
          ,5.57,9.33625,-24.767222,  G8V               ,0.076,42.91526316,
          ,6.42,9.155833,-65.124722,  K2-3III           ,,,
          ,6.39,9.377083,3.135278,  K4III             ,,,
          ,6.41,9.325417,-54.394167,  K0II-IIICNIV      ,,,
 30Eps And,4.37,9.63875,29.311667,  G6IIIFe-3CH1      ,0.031,105.2116129,And
          ,5.43,9.79125,49.354444,  K7III             ,,,
 31Del And,3.27,9.832083,30.860833,  K3III             ,0.028,116.4842857,And
 54    Psc,5.87,9.840833,21.250556,  K0+V              ,0.099,32.94505051,Psc
 55    Psc,5.36,9.981667,21.438333,  K0III+F3V         ,0.009,362.3955556,Psc
 18Alp Cas,2.23,10.127083,56.537222,  K0IIIa            ,0.016,203.8475,Cas
          ,6.85,9.67,-73.137222,  A1m               ,,,
          ,6.69,9.99125,-33.961667,  F8V               ,0.02,163.078,
          ,6.01,9.966667,-44.796667,  K1IIICNII         ,,,
          ,6.49,10.119167,-16.516944,  G5                ,,,
          ,6.14,10.137083,-23.804444,  G3V               ,0.043,75.85023256,
          ,5.91,10.176667,-4.351944,  K0III             ,,,
 32    And,5.33,10.28,39.458611,  G8III             ,0.01,326.156,And
          ,5.89,10.11,-59.454444,  G1V               ,0.058,56.2337931,
          ,5.83,10.514167,66.1475,  G9III-IV          ,,,
          ,6.04,10.4,24.629167,  A7m               ,,,
 19Xi  Cas,4.8,10.51625,50.5125,  B2V               ,,,Cas
   Mu  Phe,4.59,10.331667,-46.085,  G8III             ,0.004,815.39,Phe
          ,6.17,10.629583,58.753333,  B9.5III           ,,,
   Xi  Phe,5.7,10.443333,-56.501667,  ApSrEuCr          ,,,Phe
 20Pi  Cas,4.94,10.867083,47.024722,  A5V               ,0.023,141.8069565,Cas
   Lam1Scl,6.06,10.67875,-38.463333,  A0V               ,,,Lam1Scl
          ,5.98,10.674167,-60.2625,  K5III             ,,,
   Rho Tuc,5.39,10.618333,-65.468056,  F6V               ,0.038,85.83052632,Tuc
 16Bet Cet,2.04,10.8975,-17.986667,  G9.5IIICH-1       ,0.061,53.46819672,Cet
          ,5.67,11.11,47.864167,  B5V               ,,,
          ,6.02,10.959167,-12.011667,  K2III-IV          ,,,
   Eta Phe,4.36,10.838333,-57.463056,  A0IV              ,0.046,70.90347826,Phe
 21    Cas,5.66,11.4125,74.988056,  A2IV              ,,,Cas
 22Omi Cas,4.54,11.18125,48.284444,  B5IIIe            ,,,Cas
 17Phi1Cet,4.76,11.0475,-10.609444,  K0III             ,0.022,148.2527273,17Phi1Cet
   Lam2Scl,5.9,11.050417,-38.421667,  K1III             ,0.01,326.156,Lam2Scl
          ,5.42,11.321667,55.221667,  A2V s             ,0.012,271.7966667,
          ,5.24,11.185,-22.006111,  F1III-IV          ,0.048,67.94916667,
          ,5.94,11.237917,-42.676667,  F0V               ,,,
          ,6.07,11.134583,-62.497778,  F5III-IV          ,,,
          ,6.33,11.6625,69.325,  F3V               ,,,
          ,6.15,11.350417,-4.629167,  M0III             ,,,
          ,6.15,11.25,-53.715,  F7III             ,,,
 18    Cet,6.15,11.369583,-12.880833,  G0V               ,,,Cet
          ,6.52,11.562917,55.305278,  A2III             ,,,
          ,6.05,11.545417,44.861389,  B9.5IIIpHgMnCr    ,,,
          ,6.47,11.42375,-16.424167,  F1IVn             ,,,
          ,6.39,11.676667,59.574444,  G0Ib              ,,,
 23    Cas,5.41,11.942083,74.8475,  B8III             ,,,Cas
          ,5.8,11.44,-47.551667,  G1V               ,0.049,66.56244898,
          ,5.5,11.549167,-22.521944,  G3V               ,0.021,155.312381,
 57    Psc,5.38,11.6375,15.475556,  M4IIIa            ,0.015,217.4373333,Psc
          ,5.87,12.037917,72.675,  K0IV              ,,,
 58    Psc,5.5,11.75625,11.973889,  G8II              ,,,Psc
 59    Psc,6.13,11.806667,19.578889,  F0Vn              ,,,Psc
 34Zet And,4.06,11.834583,24.267222,  K1IIe             ,0.037,88.15027027,And
 60    Psc,5.99,11.848333,6.740833,  G8III             ,,,Psc
 61    Psc,6.54,11.978333,20.925278,  F8V               ,0.022,148.2527273,Psc
          ,5.7,11.930417,-18.061389,  K3III             ,,,
 24Eta Cas,3.44,12.275,57.815833,  F9V+dM0           ,0.176,18.53159091,Cas
          ,5.57,12.004583,-21.7225,  B9V               ,,,
 62    Psc,5.93,12.0725,7.3,  G8III             ,,,Psc
          ,5.75,12.095833,5.280556,  K2V               ,0.145,22.49351724,
 25Nu  Cas,4.89,12.20875,50.968333,  B9III             ,,,Cas
 63Del Psc,4.43,12.170833,7.585,  K4IIIb            ,0.019,171.6610526,Psc
 64    Psc,5.07,12.244583,16.940556,  F8V               ,0.047,69.39489362,Psc
 35Nu  And,4.53,12.453333,41.078889,  B5V+F8V           ,,,And
          ,5.59,12.356667,-13.561389,  K5III             ,,,
          ,5.9,12.307917,-24.136389,  K2III             ,,,
          ,6.27,12.23625,-46.697778,  G8III             ,,,
 65    Psc,7,12.47,27.710833,  F4III             ,0.011,296.5054545,Psc
 65    Psc,7.1,12.471667,27.710278,  F5III             ,0.011,296.5054545,Psc
          ,6.28,12.389167,-23.361667,  A3V               ,,,
          ,5.39,12.681667,64.2475,  G0III-IV+B9.5V    ,,,
          ,6.15,12.57625,45.002222,  A0pCr             ,,,
 19Phi2Cet,5.19,12.531667,-10.644444,  F7IV-V            ,0.065,50.17784615,19Phi2Cet
   Lam Hyi,5.07,12.1475,-74.923333,  K5III             ,0.025,130.4624,Hyi
          ,6.07,12.818333,61.805833,  K2Ib-IICN-2       ,,,
          ,6.39,12.739167,51.508056,  F2IV              ,,,
          ,6.48,12.515417,-43.394722,  A9-F0III          ,,,
          ,5.62,13.72125,83.707222,  A4V               ,,,
          ,6.21,12.890417,51.571111,  B9.5V             ,,,
   Rho Phe,5.22,12.671667,-50.986944,  F2III             ,0.005,652.312,Phe
          ,6.37,12.82625,3.385,  K0III             ,,,
          ,4.82,13.267083,61.124167,  F8V               ,0.066,49.41757576,
          ,6.9,12.967083,-43.709167,  F2V+F5V           ,0.007,465.9371429,
          ,6.69,13.2225,38.548611,  A2V               ,,,
          ,5.46,13.169167,-24.005833,  K2III             ,0.007,465.9371429,
 20    Cet,4.77,13.252083,-1.144167,  M0III             ,-0.003,,Cet
          ,6.06,13.3675,37.418056, gK3                ,,,
          ,6.27,13.448333,52.689167,  A5m               ,0.013,250.8892308,
          ,6.46,13.301667,-24.776944,  F6IV-V            ,0.006,543.5933333,
   Lam1Tuc,6.22,13.10125,-69.504444,  F7IV-V            ,,,Lam1Tuc
 26Ups1Cas,4.83,13.750417,58.972778,  K2III             ,0.006,543.5933333,26Ups1Cas
 66    Psc,5.74,13.646667,19.188333,  A1VN              ,0.014,232.9685714,Psc
 21    Cet,6.16,13.573333,-8.740833,  G5IV              ,,,Cet
          ,6.27,13.771667,48.678611,  M2.5IIIa          ,,,
          ,5.7,13.407917,-62.871389,  M4III             ,,,
 36    And,5.47,13.741667,23.628333,  K1IV              ,0.022,148.2527273,And
          ,6.2,13.81125,24.556944,  M4IIIab           ,,,
          ,6.21,14.05375,57.996667,  K3III             ,,,
          ,6.37,14.231667,68.776111,  F4III             ,,,
 67    Psc,6.09,13.99375,27.209444,  A5IV              ,,,Psc
          ,5.85,13.926667,-7.347222,  K5III             ,,,
 27Gam Cas,2.47,14.177083,60.716667,  B0IVe             ,0.016,203.8475,Cas
 28Ups2Cas,4.63,14.165833,59.181111,  G8IIIbFe-0.5      ,0.051,63.95215686,28Ups2Cas
          ,5.55,14.19625,60.362778,  B9IVn             ,0.007,465.9371429,
 22Phi3Cet,5.31,14.00625,-11.266667,  K4III             ,0.009,362.3955556,22Phi3Cet
          ,6.1,13.98125,-27.775556,  M0III             ,,,
 37Mu  And,3.87,14.188333,38.499444,  A5V               ,0.039,83.62974359,And
   Lam2Tuc,5.45,13.75125,-69.526944,  K2III             ,0.035,93.18742857,Lam2Tuc
 38Eta And,4.42,14.301667,23.4175,  G8IIIb            ,0.009,362.3955556,And
          ,6.12,14.415417,45.839722,  K2III             ,,,
          ,5.97,14.629583,66.352222,  A0III             ,,,
 68    Psc,5.42,14.459167,28.992222, gG6                ,,,Psc
          ,5.98,14.559167,33.950833,  K0                ,,,
          ,6.32,14.477083,13.695833,  G8III             ,,,
          ,6.37,14.57875,21.404444,  A2V               ,0.009,362.3955556,
          ,6.39,15.129167,70.983056,  A4IV              ,,,
 23Phi4Cet,5.61,14.682917,-11.38,  G7III             ,,,23Phi4Cet
   Alp Scl,4.31,14.651667,-29.3575,  B7IIIp            ,,,Scl
          ,6.23,14.593333,-60.696389,  Am                ,,,
          ,6.84,15.014167,44.711111,  A2Vn              ,0.005,652.312,
          ,6.04,15.015,44.713333,  B9.5Vn            ,0.005,652.312,
          ,6.11,14.957083,6.483056,  M2III             ,0.001,3261.56,
          ,4.25,17.18625,86.256944,  K2II-III          ,,,
          ,6.46,23.46,89.015556,  A3V               ,,,
          ,6.47,15.576667,51.035,  A3V               ,,,
   Xi  Scl,5.59,15.32625,-38.916667,  K0III             ,0.034,95.92823529,Scl
          ,6.45,15.75625,47.376111,  A9IV              ,0.012,271.7966667,
 39    And,5.98,15.72625,41.345,  A5m               ,,,And
 69Sig Psc,5.5,15.704583,31.804444,  B9.5V             ,,,Psc
          ,5.92,15.904167,61.075,  F0II              ,,,
   Sig Scl,5.5,15.61,-31.551944,  A2V               ,,,Scl
 71Eps Psc,4.28,15.735833,7.89,  K0III             ,0.027,120.7985185,Psc
   Ome Phe,6.11,15.5075,-57.0025,  G8III             ,,,Phe
 25    Cet,5.43,15.760833,-4.836667,  K0III-IV          ,,,Cet
          ,5.84,16.081667,61.580278,  F6V               ,,,
          ,5.99,16.01,52.502222,  K2                ,,,
          ,5.36,15.705,-46.3975,  G8III             ,0.025,130.4624,
          ,6.29,15.823333,-29.525833,  G5IV              ,,,
 26    Cet,6.04,15.954167,1.366667,  F1V               ,0.024,135.8983333,Cet
          ,6.54,16.195,51.01,  B3V               ,,,
          ,6.19,16.115,29.658611,  F7IV-V            ,,,
          ,6.21,15.67875,-65.456111,  M2III             ,,,
          ,6.72,16.151667,39.991111,  F0Vn              ,,,
          ,6.25,19.05625,87.145278, gK2                ,0.011,296.5054545,
 73    Psc,6,16.219167,5.656389, gK5                ,,,Psc
 72    Psc,5.68,16.2725,14.946111,  F4II-III          ,,,Psc
          ,6.54,16.595,62.761667,  A5Vn              ,,,
 74Psi1Psc,5.34,16.420417,21.473333,  A1Vn              ,0.016,203.8475,74Psi1Psc
 74Psi1Psc,5.56,16.42375,21.465278,  A0Vn              ,0.016,203.8475,74Psi1Psc
          ,6.29,17.30125,80.011667,sgG6                ,,,
 77    Psc,6.35,16.455,4.908333,  F3V               ,,,Psc
 77    Psc,7.25,16.464167,4.909444,  F6V               ,,,Psc
 27    Cet,6.12,16.403333,-9.979167,  K0III             ,,,Cet
          ,6.43,16.750833,56.935,  K2III             ,,,
 28    Cet,5.58,16.52125,-9.839444,  A1V               ,,,Cet
          ,6.38,16.789583,53.498333,  K2III             ,,,
 75    Psc,6.12,16.64,12.956111,  G8III             ,,,Psc
          ,6.14,16.532083,-23.9925,  G8-K0III          ,,,
 30Mu  Cas,5.17,17.068333,54.920278,  G5Vb              ,0.136,23.98205882,Cas
   Bet Phe,3.31,16.520833,-46.718611,  G8III             ,0.021,155.312381,Phe
          ,6.61,16.610417,-35.660833,  A1V               ,,,
 41    And,5.03,17.00375,43.941944,  A3m               ,0.031,105.2116129,And
          ,6.37,16.804583,-23.996389,  A7V               ,,,
          ,5.79,17.13875,58.263611,  B8V               ,,,
 78    Psc,6.25,17.005417,32.012222,  F5IV              ,,,Psc
 79Psi2Psc,5.55,16.988333,20.739167,  A3V               ,,,79Psi2Psc
 30    Cet,5.82,16.9425,-9.785556,  F7IV              ,,,Cet
 80    Psc,5.52,17.0925,5.649722,  F0III-IV          ,0.036,90.59888889,Psc
   Ups Phe,5.21,16.949583,-41.486944,  A3IV              ,0.014,232.9685714,Phe
   Iot Tuc,5.37,16.827917,-61.775278,  G5III             ,0.033,98.83515152,Tuc
          ,5.64,18.069583,79.673889,  A3V               ,,,
 31Eta Cet,3.45,17.1475,-10.182222,  K1.5IIICN1Fe0.5   ,0.041,79.5502439,Cet
 42Phi And,4.25,17.375833,47.241944,  B7Ve              ,0.003,1087.186667,And
 31    Cas,5.29,17.66375,68.778611,  A0Vnn             ,0.017,191.8564706,Cas
 43Bet And,2.06,17.432917,35.620556,  M0+IIIa           ,0.049,66.56244898,And
   Zet Phe,3.92,17.09625,-55.245833,  B6V+B9V           ,0.013,250.8892308,Phe
 81Psi3Psc,5.55,17.455,19.658611,  G0III             ,,,81Psi3Psc
 44    And,5.65,17.578333,42.081389,  F8V               ,,,And
          ,5.8,17.580833,25.457778,  K7III             ,,,
          ,5.55,17.856667,64.202778,  B9.5V             ,,,
 33The Cas,4.33,17.775833,55.149722,  A7V               ,0.014,232.9685714,Cas
          ,6.06,17.547917,15.674167,  M0III             ,,,
 32    Cas,5.57,17.9225,65.018889,  B9IV              ,,,Cas
 32    Cet,6.4,17.55,-8.906111,  K0III             ,,,Cet
 33    Cet,5.95,17.64,2.445556,  K4III             ,,,Cet
 45    And,5.81,17.792917,37.724167,  B7III-IV          ,0.003,1087.186667,And
 82    Psc,5.16,17.778333,31.424722,  F0V               ,,,Psc
          ,6.41,17.530833,-57.694444,  G6II-III          ,,,
 84Chi Psc,4.66,17.863333,21.034722,  G8.5III-IIIa      ,0.015,217.4373333,Psc
 83Tau Psc,4.51,17.915,30.089722,  K0.5IIIb          ,0.023,141.8069565,Psc
 34    Cet,5.94,17.93125,-2.251111,  K4III             ,,,Cet
          ,6.41,18.29125,61.705833,  B9V               ,,,
          ,6.11,18.141667,45.337778,  M1III             ,,,
          ,6.19,18.247917,30.064167,  G9III+G1V         ,,,
          ,6.26,19.127917,79.91,  F5V s             ,,,
          ,6.52,18.0975,-30.802222,  F7IV              ,,,
          ,5.92,18.189167,-37.856389,  F0III             ,,,
 85Phi Psc,4.65,18.437083,24.583611,  K0III             ,0.007,465.9371429,Psc
 86Zet Psc,5.24,18.432917,7.575278,  A7IV              ,0.026,125.4446154,Psc
 86Zet Psc,6.3,18.43875,7.578333,  F7V               ,0.026,125.4446154,Psc
          ,6.43,18.520833,28.529722,  S3+/2-            ,,,
 87    Psc,5.98,18.531667,16.133611,  B8III             ,,,Psc
          ,7.83,19.050417,71.743889,  K1V               ,,,
 37    Cet,5.13,18.6,-7.923056,  F5V               ,0.056,58.24214286,Cet
 88    Psc,6.03,18.676667,6.995278, gG6                ,,,Psc
 38    Cet,5.7,18.705,-0.973889,  F5V               ,0.028,116.4842857,Cet
          ,6.61,19.102083,48.082222,  B9IIIpSi          ,,,
   Nu  Phe,4.96,18.79625,-45.531389,  F8V               ,0.069,47.26898551,Phe
          ,6.02,19.078333,33.114722,  K1III             ,,,
          ,6.34,19.27125,44.901944,  K5                ,,,
 39    Cet,5.41,19.15125,-2.500278,  G5IIIe+dA         ,0.015,217.4373333,Cet
          ,6.73,19.350417,31.744722,  K0                ,,,
          ,6.31,20.08125,77.570556,  G5III             ,,,
          ,6.25,19.5425,47.419722,  K0                ,,,
   Kap Tuc,4.86,18.942083,-68.876111,  F6IV              ,0.061,53.46819672,Tuc
 89    Psc,5.16,19.45,3.614444,  A3V               ,0.013,250.8892308,Psc
          ,6.46,19.695833,37.386111,  A5m               ,0.008,407.695,
          ,6.24,19.265,-66.398056,  A0V               ,0.01,326.156,
          ,6.38,20.49625,76.238889,  F0IVn             ,,,
 34Phi Cas,4.98,20.020417,58.231667,  F0Ia              ,-0.003,,Cas
 90Ups Psc,4.76,19.866667,27.264167,  A3V               ,0.019,171.6610526,Psc
 35    Cas,6.34,20.271667,64.658333,  A2Vnn             ,,,Cas
 42    Cet,5.87,19.95125,-0.508889,  G8III+A7V         ,0.009,362.3955556,Cet
          ,6.07,20.945,78.725833,  A0Iab             ,,,
          ,6.23,20.14375,-3.246944,  K1III             ,,,
          ,6.15,20.115833,-11.238889,  K1III             ,,,
 91    Psc,5.23,20.280833,28.738056, gK5                ,,,Psc
 46Xi  And,4.88,20.585,45.528889,  K0-IIIb           ,0.026,125.4446154,And
          ,6.45,20.84,58.143056,  F4V               ,0.005,652.312,
          ,6.2,20.654167,1.726389,  K5IIIab           ,,,
 43    Cet,6.49,20.645,-0.449722, gK0                ,,,Cet
          ,6.35,20.627083,-19.081389,  F6IV              ,0.008,407.695,
 47    And,5.58,20.919167,37.715,  A2Vm              ,,,And
          ,6.29,20.90625,34.245833,  G8IV              ,,,
          ,5.97,20.85375,20.468889,  K5                ,,,
          ,6.49,21.44375,70.98,  A0Vnn             ,,,
 36Psi Cas,4.74,21.483333,68.13,  K0III             ,0.013,250.8892308,Cas
          ,5.84,20.879167,-30.945556,  K5III             ,,,
 44    Cet,6.21,21.010417,-8.0075,  F0V               ,,,Cet
 45The Cet,3.6,21.005833,-8.183333,  K0III-IIIb        ,0.041,79.5502439,Cet
