Name.,Vmag.,RA_deg.,Dec_deg.,SpType.,Parallax_arcsec.,Distance_ly.,Constellation
   Eps Gru.,3.49.,342.13875.,-51.316944.,  A3V               .,0.044.,74.12636364.,Gru
 48Mu  Peg.,3.48.,342.500833.,24.601667.,  G8+III            .,0.04.,81.539.,Peg
 32Iot Cep.,3.52.,342.42.,66.200556.,  K0-III            .,0.041.,79.5502439.,Cep
 73Lam Aqr.,3.74.,343.15375.,-7.579722.,  M2.5IIIaFe-1      .,0.017.,191.8564706.,Aqr
 76Del Aqr.,3.27.,343.6625.,-15.820833.,  A3V               .,0.038.,85.83052632.,Aqr
 24Alp PsA.,1.16.,344.412917.,-29.622222.,  A3V               .,0.149.,21.88966443.,PsA
  1Omi And.,3.62.,345.480417.,42.326111.,  B6IIIpe+A2p       .,0.015.,217.4373333.,And
 53Bet Peg.,2.42.,345.94375.,28.082778.,  M2.5II-III        .,0.022.,148.2527273.,Peg
 54Alp Peg.,2.49.,346.190417.,15.205278.,  B9V               .,0.038.,85.83052632.,Peg
 88    Aqr.,3.66.,347.361667.,-21.1725.,  K1III             .,0.01.,326.156.,Aqr
   Iot Gru.,3.9.,347.59.,-45.246667.,  K1III             .,0.03.,108.7186667.,Gru
   Gam Tuc.,3.99.,349.3575.,-58.235833.,  F1III             .,0.043.,75.85023256.,Tuc
  6Gam Psc.,3.69.,349.29125.,3.282222.,  G9-III:Fe-2       .,0.036.,90.59888889.,Psc
 98    Aqr.,3.97.,350.7425.,-20.100556.,  K0III             .,0.036.,90.59888889.,Aqr
 16Lam And.,3.82.,354.39125.,46.458056.,  G8III-IV          .,0.05.,65.2312.,And
 35Gam Cep.,3.21.,354.836667.,77.6325.,  K1III-IV          .,0.064.,50.961875.,Cep
 35Lam Sco.,1.63.,263.402083.,-37.103889.,  B2IV+B            .,.,.,Sco
 23Bet Dra.,2.79.,262.608333.,52.301389.,  G2Ib-IIa          .,0.013.,250.8892308.,Dra
   The Sco.,1.87.,264.33.,-42.997778.,  F1II              .,0.027.,120.7985185.,Sco
 55Alp Oph.,2.08.,263.73375.,12.56.,  A5III             .,0.067.,48.68.,Oph
   Kap Sco.,2.41.,265.622083.,-39.03.,  B1.5III           .,.,.,Sco
 60Bet Oph.,2.77.,265.868333.,4.567222.,  K2III             .,0.033.,98.83515152.,Oph
 33Gam Dra.,2.23.,269.151667.,51.488889.,  K5III             .,0.025.,130.4624.,Dra
 10Gam2Sgr.,2.99.,271.452083.,-30.424167.,  K0III             .,0.025.,130.4624.,10Gam2Sgr
 19Del Sgr.,2.7.,275.24875.,-29.828056.,  K3-IIIa*          .,0.047.,69.39489362.,Sgr
 20Eps Sgr.,1.85.,276.042917.,-34.384722.,  B9.5III           .,0.023.,141.8069565.,Sgr
 22Lam Sgr.,2.81.,276.9925.,-25.421667.,  K1+IIIb           .,0.053.,61.53886792.,Sgr
  3Alp Lyr.,0.03.,279.234583.,38.783611.,  A0Va              .,0.123.,26.51674797.,Lyr
 34Sig Sgr.,2.02.,283.81625.,-26.296667.,  B2.5V             .,.,.,Sgr
 38Zet Sgr.,2.6.,285.652917.,-29.880278.,  A2III+A4IV        .,0.025.,130.4624.,Sgr
 17Zet Aql.,2.99.,286.3525.,13.863333.,  A0Vn              .,0.045.,72.47911111.,Aql
 41Pi  Sgr.,2.89.,287.440833.,-21.023611.,  F2II              .,0.026.,125.4446154.,Sgr
 50Gam Aql.,2.72.,296.565.,10.613333.,  K3II              .,0.016.,203.8475.,Aql
 18Del Cyg.,2.87.,296.24375.,45.130833.,  B9.5IV+F1V        .,0.03.,108.7186667.,Cyg
 53Alp Aql.,0.77.,297.695833.,8.868333.,  A7V               .,0.198.,16.47252525.,Aql
   Alp Pav.,1.94.,306.412083.,-56.735.,  B2IV              .,.,.,Pav
 37Gam Cyg.,2.2.,305.557083.,40.256667.,  F8Ib              .,0.003.,1087.186667.,Cyg
 50Alp Cyg.,1.25.,310.357917.,45.280278.,  A2Ia              .,-0.006.,.,Cyg
 53Eps Cyg.,2.46.,311.552917.,33.970278.,  K0-III            .,0.057.,57.22035088.,Cyg
  5Alp Cep.,2.44.,319.645.,62.585556.,  A7V               .,0.068.,47.96411765.,Cep
 22Bet Aqr.,2.91.,322.889583.,-5.571111.,  G0Ib              .,0.006.,543.5933333.,Aqr
  8Eps Peg.,2.39.,326.046667.,9.875.,  K2Ib              .,0.006.,543.5933333.,Peg
 49Del Cap.,2.87.,326.76.,-16.127222.,  Am                .,0.087.,37.4891954.,Cap
 34Alp Aqr.,2.96.,331.445833.,-0.319722.,  G2Ib              .,0.012.,271.7966667.,Aqr
   Alp Gru.,1.74.,332.058333.,-46.961111.,  B7IV              .,0.057.,57.22035088.,Gru
   Alp Tuc.,2.86.,334.625417.,-60.259722.,  K3III             .,0.026.,125.4446154.,Tuc
   Bet Gru.,2.1.,340.667083.,-46.884722.,  M5III             .,0.008.,407.695.,Gru
 44Eta Peg.,2.94.,340.750417.,30.221389.,  G2II-III+F0V      .,0.017.,191.8564706.,Peg
 24Alp PsA.,1.16.,344.412917.,-29.622222.,  A3V               .,0.149.,21.88966443.,PsA
 53Bet Peg.,2.42.,345.94375.,28.082778.,  M2.5II-III        .,0.022.,148.2527273.,Peg
 54Alp Peg.,2.49.,346.190417.,15.205278.,  B9V               .,0.038.,85.83052632.,Peg
